DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2018,127,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2019,126,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2018,118,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2019,118,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2018,52,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2019,53,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2018,92,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2019,93,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2018,124,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2019,121,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2018,129,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2019,126,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2018,82,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,EE,2019,82,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2018,91,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,ES,2019,91,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2018,111,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FI,2019,109,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FR,2018,104,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,FR,2019,106,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HR,2018,65,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HR,2019,67,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HU,2018,71,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,HU,2019,73,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IE,2018,190,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IE,2019,189,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IT,2018,97,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,IT,2019,97,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LT,2018,81,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LT,2019,84,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LV,2018,69,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,LV,2019,69,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,NL,2018,129,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,NL,2019,127,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,PL,2018,71,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,PL,2019,73,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,PT,2018,78,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,PT,2019,79,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,SE,2018,120,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,SE,2019,119,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,SK,2018,70,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,SK,2019,71,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,UK,2018,105,
ESTAT:TEC00114(1.0),21/12/22 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,UK,2019,104,
