cntry,age,index_religion,index_politparti,index_capital,index_trust,index_network,index_norms,religion_comp,wealth,welfare_exp
AT,51.558861,23.345795,2.295043,38.314186,249.34271,7.8760595,14.988168,73.650002,127,12910.245
BE,47.907135,24.819059,2.4599073,35.938473,176.24986,7.8021603,14.986902,46,118,11756.96
BG,54.554394,20.575144,1.0648243,31.42523,92.147827,7.5282927,13.250137,78.699997,53,1403.55
CZ,49.037113,12.916775,1.7369354,33.122608,174.02493,7.3300428,13.239205,20.66,93,3818.2349
DE,49.646133,21.731146,2.9199145,37.062138,213.94223,7.6001706,15.39181,56.75,123,12328.369
DK,49.764629,20.732485,3.0010746,42.840305,351.68625,8.4047623,15.423871,58.07,128,16715.605
EE,50.730568,17.229715,1.6299816,33.772297,204.37335,6.7616773,14.103267,27.049999,82,3332.3999
ES,48.518898,19.753929,2.2814791,35.945431,152.77574,7.9280443,15.400495,62.549999,91,6218.5654
FI,50.899147,26.433563,3.2923028,40.753933,332.1376,7.7058487,15.355248,56,110,12896.905
FR,52.373631,25.707661,2.4121387,35.572338,155.6588,8.0867815,14.71921,52.75,105,11989.045
GB,52.39991,18.172352,2.3382494,36.270489,208.91599,7.4872031,15.011943,45.799999,105,9360.1104
HR,51.155704,25.268673,1.8590745,34.305588,108.38268,7.9309578,15.129578,69.129997,66,2820.8049
HU,50.974712,19.344679,1.0276884,29.734869,157.70267,5.8172178,13.356618,51.810001,72,2469.6602
IE,52.231476,19.956463,2.270823,36.839134,243.52931,7.2995915,14.920919,68.779999,190,9723.2646
IT,51.276798,24.086681,1.6254612,33.516682,140.11279,7.6328645,13.927976,79.110001,97,8622.3701
LT,56.328064,25.446112,1.260514,30.18331,158.47137,6.8220963,11.669528,87.879997,83,2728.085
LV,55.851852,21.523809,1.518285,33.261257,163.27057,7.0396042,14.147058,44.700001,69,2397.895
NL,48.663662,21.36091,2.416013,38.975357,256.53204,8.2510586,14.757117,31.32,128,13224.436
PL,47.618668,21.931725,1.4755272,30.296047,112.36835,6.5017347,13.824895,87.290001,72,2764.365
PT,52.363026,24.377033,2.2137606,34.377998,118.22392,8.2156096,14.212092,71.129997,79,4895.8901
SE,52.528915,16.396585,3.4872589,40.394424,295.04712,8.3045187,14.90596,40.669998,120,12955.89
SK,55.053223,23.089035,1.5317308,30.56703,116.44766,6.9169002,13.294737,75.230003,71,3020.54
